model,accuracy_mean,accuracy_std,accuracy_fold1,accuracy_fold2,precision_mean,precision_std,precision_fold1,precision_fold2,recall_mean,recall_std,recall_fold1,recall_fold2,f1_mean,f1_std,f1_fold1,f1_fold2,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_fold1,balanced_accuracy_fold2,roc_auc_mean,roc_auc_std,roc_auc_fold1,roc_auc_fold2
baseline_majority_class,0.4,0.07999999999999999,0.48,0.32,0.16,0.16,0.0,0.32,0.5,0.5,0.0,1.0,0.24242424242424243,0.24242424242424243,0.0,0.48484848484848486,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
logistic_regression,0.43000000000000005,0.03,0.46,0.4,0.38011695906432746,0.06432748538011696,0.4444444444444444,0.3157894736842105,0.4519230769230769,0.2980769230769231,0.15384615384615385,0.75,0.3365079365079365,0.10793650793650793,0.22857142857142856,0.4444444444444444,0.48270173453996984,0.009945324283559598,0.47275641025641024,0.49264705882352944,0.5031108597285068,0.007918552036199067,0.4951923076923077,0.5110294117647058
random_forest,0.4,0.04000000000000001,0.44,0.36,0.14473684210526316,0.14473684210526316,0.0,0.2894736842105263,0.34375,0.34375,0.0,0.6875,0.2037037037037037,0.2037037037037037,0.0,0.4074074074074074,0.4525122549019608,0.005821078431372556,0.4583333333333333,0.4466911764705882,0.4410350678733032,0.010888009049773772,0.451923076923077,0.43014705882352944
